SQL Statement,Modified_Statement,Original,Error_Category,syntax_error,syntax_type
select top 100 * from [mNO],select top 100 * from [mNO] as to where t.o=1;,YES,alias-undefined,YES,alias-ambiguous
select description from DBObjects where name='galSpecLine',select description from DBObjects dbo where ooo.name='galSpecLine',YES,alias-undefined,YES,alias-undefined
"SET PARSEONLY ON SELECT TOP 100000 
  p.obj,cast(str(p.ra,13,8) as float) as ra,cast(str(p.[dec],13,8) as float) as dec,
  p.u,p.g,p.r,p.i,p.z,
  p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z,
  ISNULL(s.z,0) as redshift,ISNULL(s.zErr,0) as redshiftErr,ISNULL(s.zWarning,0) as zWarning,
  ISNULL(s.class,0) as class, p.score as score, c.z as photo_z, c.zErr from PhotoObj AS p 
  LEFT OUTER JOIN ..SpecObj s ON p.objID = s.bestObjID 
  JOIN dbo.fGetNearbyObjEq(10.458750,-9.301944,270.0) AS b ON  b.objID = P.objID 
  JOIN Photoz as c ON c.objID = P.objID
  WHERE  p.u < 24 AND p.g < 24 AND p.r < 24 AND p.i < 24 AND p.z < 24 AND (p.type = 3)","SET PARSEONLY ON SELECT TOP 100000 
  p.obj,cast(str(p.ra,13,8) as float) as ra,cast(str(p.[dec],13,8) as float) as dec,
  p.u,p.g,p.r,p.i,p.z,
  p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z,
  ISNULL(s.z,0) as redshift,ISNULL(s.zErr,0) as redshiftErr,ISNULL(s.zWarning,0) as zWarning,
  ISNULL(s.class,0) as class, p.score as score, c.z as photo_z, c.zErr from PhotoObj AS p 
  LEFT OUTER JOIN ..SpecObj s ON p.objID = s.bestObjID 
  JOIN dbo.fGetNearbyObjEq(10.458750,-9.301944,270.0) AS b ON  b.objID = P.objID 
  JOIN Photoz as c ON c.objID = P.objID
  WHERE  p.u < 24 AND p.g < 24 AND p.r < 24 AND p.i < 24 AND p.z < 24 AND (p.type = 3)",NO,NO Error,NO,
"SELECT TOP 1 rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN 194.620558333 and 194.660558333 AND dec BETWEEN 15.865 and 15.905 
","SELECT TOP 1 p.rerun, p.camcol, p.field
FROM PhotoObj AS p, ANOtherPhotoObj AS p -- Alias 'p' used ambiguously for two tables
WHERE p.ra BETWEEN 194.620558333 AND 194.660558333 
AND p.dec BETWEEN 15.865 AND 15.905;",YES,alias-ambiguous,YES,alias-ambiguous
"SELECT DISTINCT s.run2d, s.plate, s.mjd, s.fiberID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=1501 AND s.mjd=53740 AND s.fiberid=378)","SELECT DISTINCT s.run2d, s.plate, s.mjd, s.fiberID
FROM PhotoObjAll AS p 
JOIN SpecObjAll AS s ON p.objID = s.bestObjID
JOIN SpecObjAll AS so ON p.objID = so.bestObjID  -- Added aNOther join to introduce alias ambiguity
WHERE (s.plate=1501 AND s.mjd=53740 AND s.fiberid=378);",YES,alias-ambiguous,YES,alias-ambiguous
"SELECT TOP 1_x000D_
 s.instrument, s.bossSpecObjID, px.seeing50, p.psffwhm_r, p.field, p.run, p.camcol, p.rowc_r, p.colc_r, p.rowc, p.colc, p.fracDeV_r, p.deVAB_r, p.deVPhi_r, s.specobjid, s.bestobjid, p.objid, s.plate, s.fiberid, p.insideMask, p.flags, p.sky_r, p.petroFlux_r, p.petroFluxIvar_r, p.fiber2Flux_r, p.petroRad_r, p.petroRadErr_r, p.petroR50_r, p.petroR50Err_r, p.petroR90_r, p.petroR90Err_r, p.deVRad_r, p.deVRadErr_r, p.deVFlux_r, p.deVFluxIvar_r, p.airmass_r, p.cloudCam_r, p.calibStatus_r, s.z, s.zErr, s.zWarning, s.class, s.z_NOqso, s.zErr_NOqso, s.zWarning_NOqso, s.velDisp, s.velDispErr, s.velDispZ, s.velDispZErr, s.velDispChi2, s.velDispNPix, s.velDispDOF, s.snMedian_r, s.snMedian, s.chi68p, s.fracNSigma_1, s.fracNSigHi_1, s.fracNSigLo_1, s.spectroFlux_r, s.spectroSynFlux_r, s.spectroFluxIvar_r, s.spectroSynFluxIvar_r, p.expFlux_r, p.expAB_r, p.expRad_r, p.expPhi_r, p.psfFlux_r_x000D_
FROM PhotoObjAll AS p_x000D_
 JOIN SpecObjAll AS s ON s.bestobjid = p.objid JOIN PlateX AS px on px.plateID = s.plateID_x000D_
WHERE _x000D_
 s.scienceprimary = 1_x000D_
 AND s.ra BETWEEN 116.56765809766667 AND 116.56932476433333_x000D_
 AND s.dec BETWEEN 49.93138551376667 AND 49.933052180433336_x000D_
","SELECT TOP 1_x000D_
 s.instrument, s.bossSpecObjID, px.seeing50, p.psffwhm_r, p.field, p.run, p.camcol, p.rowc_r, p.colc_r, p.rowc, p.colc, p.fracDeV_r, p.deVAB_r, p.deVPhi_r, s.specobjid, s.bestobjid, p.objid, s.plate, s.fiberid, p.insideMask, p.flags, p.sky_r, p.petroFlux_r, p.petroFluxIvar_r, p.fiber2Flux_r, p.petroRad_r, p.petroRadErr_r, p.petroR50_r, p.petroR50Err_r, p.petroR90_r, p.petroR90Err_r, p.deVRad_r, p.deVRadErr_r, p.deVFlux_r, p.deVFluxIvar_r, p.airmass_r, p.cloudCam_r, p.calibStatus_r, AVG(s.z) as avg_z, s.zErr, s.zWarning, s.class, s.z_NOqso, s.zErr_NOqso, s.zWarning_NOqso, s.velDisp, s.velDispErr, s.velDispZ, s.velDispZErr, s.velDispChi2, s.velDispNPix, s.velDispDOF, s.snMedian_r, s.snMedian, s.chi68p, s.fracNSigma_1, s.fracNSigHi_1, s.fracNSigLo_1, s.spectroFlux_r, s.spectroSynFlux_r, s.spectroFluxIvar_r, s.spectroSynFluxIvar_r, p.expFlux_r, p.expAB_r, p.expRad_r, p.expPhi_r, p.psfFlux_r_x000D_
FROM PhotoObjAll AS p_x000D_
 JOIN SpecObjAll AS s ON s.bestobjid = p.objid JOIN PlateX AS px on px.plateID = s.plateID_x000D_
WHERE _x000D_
 s.scienceprimary = 1_x000D_
 AND s.ra BETWEEN 116.56765809766667 AND 116.56932476433333_x000D_
 AND s.dec BETWEEN 49.93138551376667 AND 49.933052180433336_x000D_;",YES,aggr-attribute,NO,
"SELECT DISTINCT s.run2d, s.plate, s.mjd, s.fiberID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=8055 AND s.mjd=57187 AND s.fiberid=97)","SELECT DISTINCT 
    s.run2d, s.plate, s.mjd, s.fiberID
FROM PhotoObjAll AS p 
JOIN SpecObjAll s ON p.objID = s.bestObjID
WHERE s.plate = 'Eigh' 
  AND s.mjd = 'Fift' 
  AND s.fiberid = 'Ninet'; ",YES,type-mismatch-condition,NO,
"SELECT u.up_name as name, _x000D_
p.objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field,_x000D_
dbo.fPhotoTypeN(p.type) as type,_x000D_
p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z _x000D_
FROM #upload u_x000D_
JOIN #x x ON x.up_id = u.up_id_x000D_
JOIN PhotoTag p ON p.objID = x.objID _x000D_
ORDER BY x.up_id_x000D_
','500000', @log=0, @filter=1","SELECT u.up_name as name, _x000D_
p.objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field,_x000D_
dbo.fPhotoTypeN(p.type) as type,_x000D_
p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z _x000D_
FROM #upload u_x000D_
JOIN #x x ON x.up_id = u.up_id_x000D_
JOIN PhotoTag p ON p.objID = x.objID _x000D_
ORDER BY x.up_id_x000D_
','500000', @log=0, @filter=1",NO,NO Error,NO,
"
insert into x values (1,566777)","
insert into x values (1,566777)",NO,NO Error,NO,
"SELECT TOP 1_x000D_
 s.instrument, s.bossSpecObjID, px.seeing50, p.psffwhm_r, p.field, p.run, p.camcol, p.rowc_r, p.colc_r, p.rowc, p.colc, p.fracDeV_r, p.deVAB_r, p.deVPhi_r, s.specobjid, s.bestobjid, p.objid, s.plate, s.fiberid, p.insideMask, p.flags, p.sky_r, p.petroFlux_r, p.petroFluxIvar_r, p.fiber2Flux_r, p.petroRad_r, p.petroRadErr_r, p.petroR50_r, p.petroR50Err_r, p.petroR90_r, p.petroR90Err_r, p.deVRad_r, p.deVRadErr_r, p.deVFlux_r, p.deVFluxIvar_r, p.airmass_r, p.cloudCam_r, p.calibStatus_r, s.z, s.zErr, s.zWarning, s.class, s.z_NOqso, s.zErr_NOqso, s.zWarning_NOqso, s.velDisp, s.velDispErr, s.velDispZ, s.velDispZErr, s.velDispChi2, s.velDispNPix, s.velDispDOF, s.snMedian_r, s.snMedian, s.chi68p, s.fracNSigma_1, s.fracNSigHi_1, s.fracNSigLo_1, s.spectroFlux_r, s.spectroSynFlux_r, s.spectroFluxIvar_r, s.spectroSynFluxIvar_r, p.expFlux_r, p.expAB_r, p.expRad_r, p.expPhi_r, p.psfFlux_r_x000D_
FROM PhotoObjAll AS p_x000D_
 JOIN SpecObjAll AS s ON s.bestobjid = p.objid JOIN PlateX AS px on px.plateID = s.plateID_x000D_
WHERE _x000D_
 s.scienceprimary = 1_x000D_
 AND s.ra BETWEEN 184.38562535066666 AND 184.38729201733332_x000D_
 AND s.dec BETWEEN 43.756572938266665 AND 43.75823960493333_x000D_
","SELECT TOP 1_x000D_
 s.instrument, s.bossSpecObjID, px.seeing50, p.psffwhm_r, p.field, p.run, p.camcol, p.rowc_r, p.colc_r, p.rowc, p.colc, p.fracDeV_r, p.deVAB_r, p.deVPhi_r, s.specobjid, s.bestobjid, p.objid, s.plate, s.fiberid, p.insideMask, p.flags, p.sky_r, p.petroFlux_r, p.petroFluxIvar_r, p.fiber2Flux_r, p.petroRad_r, p.petroRadErr_r, p.petroR50_r, p.petroR50Err_r, p.petroR90_r, p.petroR90Err_r, p.deVRad_r, p.deVRadErr_r, p.deVFlux_r, p.deVFluxIvar_r, p.airmass_r, p.cloudCam_r, p.calibStatus_r, s.z, s.zErr, s.zWarning, s.class, s.z_NOqso, s.zErr_NOqso, s.zWarning_NOqso, s.velDisp, s.velDispErr, s.velDispZ, s.velDispZErr, s.velDispChi2, s.velDispNPix, s.velDispDOF, s.snMedian_r, s.snMedian, s.chi68p, s.fracNSigma_1, s.fracNSigHi_1, s.fracNSigLo_1, s.spectroFlux_r, s.spectroSynFlux_r, s.spectroFluxIvar_r, s.spectroSynFluxIvar_r, p.expFlux_r, p.expAB_r, p.expRad_r, p.expPhi_r, p.psfFlux_r_x000D_
FROM PhotoObjAll AS p_x000D_
 JOIN SpecObjAll AS s ON s.bestobjid = p.objid JOIN PlateX AS px on px.plateID = s.plateID_x000D_
WHERE _x000D_
 s.scienceprimary = 1_x000D_
 AND s.ra BETWEEN 184.38562535066666 AND 184.38729201733332_x000D_
 AND s.dec BETWEEN 43.756572938266665 AND 43.75823960493333_x000D_
",NO,NO Error,NO,
"SELECT TOP 1_x000D_
 drp.plate as drp_plate, drp.ifudsgn as drp_ifudsgn, drp.mangaid as drp_mangaid, drp.versdrp2, drp.versdrp3, drp.srvymode, drp.objra, drp.objdec, drp.ifuglon, drp.ifuglat, drp.ifura, drp.ifudec, drp.ebvgal, drp.drp3qual, drp.bluesn2, drp.redsn2, drp.airmsmed, drp.seemed, drp.transmed, drp.rfwhm, drp.mngtarg1, drp.mngtarg2, drp.mngtarg3, drp.ifudesignsize, drp.ifutargetsize, drp.z as drp_z, drp.zmin, drp.zmax, drp.nsa_z as drp_nsa_z, drp.nsa_zdist, drp.nsa_sersic_absmag_r, drp.nsa_elpetro_absmag_r, drp.nsa_elpetro_amivar_r, drp.nsa_sersic_mass, drp.nsa_elpetro_mass, drp.nsa_elpetro_ba, drp.nsa_elpetro_phi, drp.nsa_extinction_r, drp.nsa_elpetro_th50_r, drp.nsa_petro_th50, drp.nsa_petro_flux_r, drp.nsa_petro_flux_ivar_r, drp.nsa_elpetro_flux_r, drp.nsa_elpetro_flux_ivar_r, drp.nsa_sersic_ba, drp.nsa_sersic_n, drp.nsa_sersic_phi, drp.nsa_sersic_th50, drp.nsa_sersic_flux_r, drp.nsa_sersic_flux_ivar_r, dap.plate as dap_plate, dap.ifudesign as dap_ifudesign, dap.plateifu as dap_plateifu, dap.mangaid as dap_mangaid, dap.drpallindx, dap.dapdone, dap.ldist_z, dap.adist_z, dap.nsa_z as dap_nsa_z, dap.nsa_zdist, dap.drp3qual, dap.dapqual, dap.dapbins, dap.rcov90, dap.snr_med_r as dap_snr_med_r, dap.snr_ring_r as dap_snr_ring_r, dap.bin_rmax, dap.bin_r_n_10, dap.bin_r_snr_10, dap.stellar_z, dap.stellar_vel_lo, dap.stellar_vel_hi, dap.stellar_vel_lo_clip, dap.stellar_vel_hi_clip, dap.stellar_sigma_1re, dap.stellar_rchi2_1re_x000D_
FROM mangaDRPall AS drp_x000D_
 JOIN mangaDAPall AS dap on dap.mangaid = drp.mangaid_x000D_
WHERE _x000D_
 drp.mangaid = '1-379920'_x000D_
 AND_x000D_
 dap.daptype = 'HYB10-MILESHC-MASTARHC2'_x000D_
","SELECT TOP 1
  drp.plate as drp_plate, drp.ifudsgn as drp_ifudsgn, drp.mangaid as drp_mangaid, 
  drp.versdrp2, drp.versdrp3, drp.srvymode, drp.objra, drp.objdec, drp.ifuglon, 
  drp.ifuglat, drp.ifura, drp.ifudec, drp.ebvgal, drp.drp3qual, drp.bluesn2, 
  drp.redsn2, drp.airmsmed, drp.seemed, drp.transmed, drp.rfwhm, drp.mngtarg1, 
  drp.mngtarg2, drp.mngtarg3, drp.ifudesignsize, drp.ifutargetsize, drp.z as drp_z, 
  drp.zmin, drp.zmax, drp.nsa_z as drp_nsa_z, drp.nsa_zdist, drp.nsa_sersic_absmag_r, 
  drp.nsa_elpetro_absmag_r, drp.nsa_elpetro_amivar_r, drp.nsa_sersic_mass, 
  drp.nsa_elpetro_mass, drp.nsa_elpetro_ba, drp.nsa_elpetro_phi, 
  drp.nsa_extinction_r, drp.nsa_elpetro_th50_r, drp.nsa_petro_th50, 
  drp.nsa_petro_flux_r, drp.nsa_petro_flux_ivar_r, drp.nsa_elpetro_flux_r, 
  drp.nsa_elpetro_flux_ivar_r, drp.nsa_sersic_ba, drp.nsa_sersic_n, 
  drp.nsa_sersic_phi, drp.nsa_sersic_th50, drp.nsa_sersic_flux_r, 
  drp.nsa_sersic_flux_ivar_r, dap.plate as dap_plate, dap.ifudesign as dap_ifudesign, 
  dap.plateifu as dap_plateifu, dap.mangaid as dap_mangaid, dap.drpallindx, 
  dap.dapdone, dap.ldist_z, dap.adist_z, dap.nsa_z as dap_nsa_z, dap.nsa_zdist, 
  dap.drp3qual, dap.dapqual, dap.dapbins, dap.rcov90, dap.snr_med_r as dap_snr_med_r, 
  dap.snr_ring_r as dap_snr_ring_r, dap.bin_rmax, dap.bin_r_n_10, dap.bin_r_snr_10, 
  dap.stellar_z, dap.stellar_vel_lo, dap.stellar_vel_hi, dap.stellar_vel_lo_clip, 
  dap.stellar_vel_hi_clip, dap.stellar_sigma_1re
FROM mangaDRPall AS drp
JOIN mangaDAPall AS dap ON dap.mangaid = drp.mangaid
WHERE 
  drp.mangaid = '1-379920'
  AND
  dap.daptype = 'HYB10-MILESHC-MASTARHC2'
HAVING COUNT(drp.plate) > 1 -- Aggregate function used without GROUP BY",YES,aggr-having,YES,aggr-having
"SELECT TOP 1_x000D_
 s.instrument, s.bossSpecObjID, px.seeing50, p.psffwhm_r, p.field, p.run, p.camcol, p.rowc_r, p.colc_r, p.rowc, p.colc, p.fracDeV_r, p.deVAB_r, p.deVPhi_r, s.specobjid, s.bestobjid, p.objid, s.plate, s.fiberid, p.insideMask, p.flags, p.sky_r, p.petroFlux_r, p.petroFluxIvar_r, p.fiber2Flux_r, p.petroRad_r, p.petroRadErr_r, p.petroR50_r, p.petroR50Err_r, p.petroR90_r, p.petroR90Err_r, p.deVRad_r, p.deVRadErr_r, p.deVFlux_r, p.deVFluxIvar_r, p.airmass_r, p.cloudCam_r, p.calibStatus_r, s.z, s.zErr, s.zWarning, s.class, s.z_NOqso, s.zErr_NOqso, s.zWarning_NOqso, s.velDisp, s.velDispErr, s.velDispZ, s.velDispZErr, s.velDispChi2, s.velDispNPix, s.velDispDOF, s.snMedian_r, s.snMedian, s.chi68p, s.fracNSigma_1, s.fracNSigHi_1, s.fracNSigLo_1, s.spectroFlux_r, s.spectroSynFlux_r, s.spectroFluxIvar_r, s.spectroSynFluxIvar_r, p.expFlux_r, p.expAB_r, p.expRad_r, p.expPhi_r, p.psfFlux_r_x000D_
FROM PhotoObjAll AS p_x000D_
 JOIN SpecObjAll AS s ON s.bestobjid = p.objid JOIN PlateX AS px on px.plateID = s.plateID_x000D_
WHERE _x000D_
 s.scienceprimary = 1_x000D_
 AND s.ra BETWEEN 123.66121502766667 AND 123.66288169433334_x000D_
 AND s.dec BETWEEN 44.393809782266665 AND 44.39547644893333_x000D_
","SELECT TOP 1
  s.instrument, s.bossSpecObjID, px.seeing50, p.psffwhm_r, p.field, p.run, p.camcol, 
  p.rowc_r, p.colc_r, p.rowc, p.colc, p.fracDeV_r, p.deVAB_r, p.deVPhi_r, 
  s.specobjid, s.bestobjid, p.objid, s.plate, s.fiberid, p.insideMask, p.flags, 
  p.sky_r, p.petroFlux_r, p.petroFluxIvar_r, p.fiber2Flux_r, p.petroRad_r, 
  p.petroRadErr_r, p.petroR50_r, p.petroR50Err_r, p.petroR90_r, p.petroR90Err_r, 
  p.deVRad_r, p.deVRadErr_r, p.deVFlux_r, p.deVFluxIvar_r, p.airmass_r, p.cloudCam_r, 
  p.calibStatus_r, s.z, s.zErr, s.zWarning, s.class, s.z_NOqso, s.zErr_NOqso, 
  s.zWarning_NOqso, s.velDisp, s.velDispErr, s.velDispZ, s.velDispZErr, 
  s.velDispChi2, s.velDispNPix, s.velDispDOF, s.snMedian_r, s.snMedian, s.chi68p, 
  s.fracNSigma_1, s.fracNSigHi_1, s.fracNSigLo_1, s.spectroFlux_r, s.spectroSynFlux_r, 
  s.spectroFluxIvar_r, s.spectroSynFluxIvar_r, p.expFlux_r, p.expAB_r, p.expRad_r, 
  p.expPhi_r, p.psfFlux_r
FROM PhotoObjAll AS p
JOIN SpecObjAll AS s ON s.bestobjid = p.objid 
JOIN PlateX AS px ON px.plateID = s.plateID
WHERE 
  s.scienceprimary = 1
  AND s.ra BETWEEN 123.66121502766667 AND 123.66288169433334
  AND s.dec BETWEEN 44.393809782266665 AND 44.39547644893333
HAVING p.field > 1000 -- Invalid reference, 'p.field' is NOt in an aggregate or GROUP BY",YES,aggr-having,YES,aggr-having
"SELECT DISTINCT s.run2d, s.plate, s.mjd, s.fiberID FROM PhotoObjAll AS p JOIN SpecObjAll AS s ON p.objID = s.bestObjID WHERE (s.plate=421 AND s.mjd=51821 AND s.fiberid=180)","SELECT DISTINCT s.run2d, s.plate, s.mjd, s.fiberID
FROM PhotoObjAll AS p
JOIN SpecObjAll AS s ON p.objID = s.bestObjID
WHERE s.plate = (SELECT plate FROM SpecObjAll WHERE mjd = 51821 AND run2d = 'v5_13_2');  ",YES,type-mismatch-nested,NO,
"SELECT TOP 1_x000D_
 s.instrument, s.bossSpecObjID, px.seeing50, p.psffwhm_r, p.field, p.run, p.camcol, p.rowc_r, p.colc_r, p.rowc, p.colc, p.fracDeV_r, p.deVAB_r, p.deVPhi_r, s.specobjid, s.bestobjid, p.objid, s.plate, s.fiberid, p.insideMask, p.flags, p.sky_r, p.petroFlux_r, p.petroFluxIvar_r, p.fiber2Flux_r, p.petroRad_r, p.petroRadErr_r, p.petroR50_r, p.petroR50Err_r, p.petroR90_r, p.petroR90Err_r, p.deVRad_r, p.deVRadErr_r, p.deVFlux_r, p.deVFluxIvar_r, p.airmass_r, p.cloudCam_r, p.calibStatus_r, s.z, s.zErr, s.zWarning, s.class, s.z_NOqso, s.zErr_NOqso, s.zWarning_NOqso, s.velDisp, s.velDispErr, s.velDispZ, s.velDispZErr, s.velDispChi2, s.velDispNPix, s.velDispDOF, s.snMedian_r, s.snMedian, s.chi68p, s.fracNSigma_1, s.fracNSigHi_1, s.fracNSigLo_1, s.spectroFlux_r, s.spectroSynFlux_r, s.spectroFluxIvar_r, s.spectroSynFluxIvar_r, p.expFlux_r, p.expAB_r, p.expRad_r, p.expPhi_r, p.psfFlux_r_x000D_
FROM PhotoObjAll AS p_x000D_
 JOIN SpecObjAll AS s ON s.bestobjid = p.objid JOIN PlateX AS px on px.plateID = s.plateID_x000D_
WHERE _x000D_
 s.scienceprimary = 1_x000D_
 AND s.ra BETWEEN 31.668349647866666 AND 31.67001631453333_x000D_
 AND s.dec BETWEEN 13.439088125566668 AND 13.440754792233333_x000D_
","SELECT TOP 1_x000D_
 s.instrument, s.bossSpecObjID, px.seeing50, p.psffwhm_r, p.field, p.run, p.camcol, p.rowc_r, p.colc_r, p.rowc, p.colc, p.fracDeV_r, p.deVAB_r, p.deVPhi_r, s.specobjid, s.bestobjid, p.objid, s.plate, s.fiberid, p.insideMask, p.flags, p.sky_r, p.petroFlux_r, p.petroFluxIvar_r, p.fiber2Flux_r, p.petroRad_r, p.petroRadErr_r, p.petroR50_r, p.petroR50Err_r, p.petroR90_r, p.petroR90Err_r, p.deVRad_r, p.deVRadErr_r, p.deVFlux_r, p.deVFluxIvar_r, p.airmass_r, p.cloudCam_r, p.calibStatus_r, s.z, s.zErr, s.zWarning, s.class, s.z_NOqso, s.zErr_NOqso, s.zWarning_NOqso, s.velDisp, s.velDispErr, s.velDispZ, s.velDispZErr, s.velDispChi2, s.velDispNPix, s.velDispDOF, s.snMedian_r, s.snMedian, s.chi68p, s.fracNSigma_1, s.fracNSigHi_1, s.fracNSigLo_1, s.spectroFlux_r, s.spectroSynFlux_r, s.spectroFluxIvar_r, s.spectroSynFluxIvar_r, p.expFlux_r, p.expAB_r, p.expRad_r, p.expPhi_r, p.psfFlux_r_x000D_
FROM PhotoObjAll AS p_x000D_
 JOIN SpecObjAll AS s ON s.bestobjid = p.objid JOIN PlateX AS px on px.plateID = s.plateID_x000D_
WHERE _x000D_
 s.scienceprimary = 1_x000D_
 AND s.ra BETWEEN 31.668349647866666 AND 31.67001631453333_x000D_
 AND s.dec BETWEEN 13.439088125566668 AND 13.440754792233333_x000D_
",NO,NO Error,NO,
EXEC sp_helpdb @dbname= 'DemocratizingData_NCSES',EXEC sp_helpdb @dbname= 'DemocratizingData_NCSES',NO,NO Error,NO,
"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=7405 AND s.mjd=57134 AND s.fiberid=759)","SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=7405 AND s.mjd=57134 AND s.fiberid=759)",NO,NO Error,NO,
"SELECT DISTINCT s.run2d, s.plate, s.mjd, s.fiberID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=4228 AND s.mjd=55484 AND s.fiberid=941)","SELECT DISTINCT s.run2d, s.plate, s.mjd, s.fiberID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=4228 AND s.mjd=55484 AND s.fiberid=941)",NO,NO Error,YES,alias-ambiguous
"SELECT TOP 1_x000D_
 s.instrument, s.bossSpecObjID, px.seeing50, p.psffwhm_r, p.field, p.run, p.camcol, p.rowc_r, p.colc_r, p.rowc, p.colc, p.fracDeV_r, p.deVAB_r, p.deVPhi_r, s.specobjid, s.bestobjid, p.objid, s.plate, s.fiberid, p.insideMask, p.flags, p.sky_r, p.petroFlux_r, p.petroFluxIvar_r, p.fiber2Flux_r, p.petroRad_r, p.petroRadErr_r, p.petroR50_r, p.petroR50Err_r, p.petroR90_r, p.petroR90Err_r, p.deVRad_r, p.deVRadErr_r, p.deVFlux_r, p.deVFluxIvar_r, p.airmass_r, p.cloudCam_r, p.calibStatus_r, s.z, s.zErr, s.zWarning, s.class, s.z_NOqso, s.zErr_NOqso, s.zWarning_NOqso, s.velDisp, s.velDispErr, s.velDispZ, s.velDispZErr, s.velDispChi2, s.velDispNPix, s.velDispDOF, s.snMedian_r, s.snMedian, s.chi68p, s.fracNSigma_1, s.fracNSigHi_1, s.fracNSigLo_1, s.spectroFlux_r, s.spectroSynFlux_r, s.spectroFluxIvar_r, s.spectroSynFluxIvar_r, p.expFlux_r, p.expAB_r, p.expRad_r, p.expPhi_r, p.psfFlux_r_x000D_
FROM PhotoObjAll AS p_x000D_
 JOIN SpecObjAll AS s ON s.bestobjid = p.objid JOIN PlateX AS px on px.plateID = s.plateID_x000D_
WHERE _x000D_
 s.scienceprimary = 1_x000D_
 AND s.ra BETWEEN 237.97017712166667 AND 237.97184378833333_x000D_
 AND s.dec BETWEEN 25.97750632336667 AND 25.979172990033334_x000D_
","SELECT TOP 1_x000D_
 s.instrument, s.bossSpecObjID, px.seeing50, p.psffwhm_r, p.field, p.run, p.camcol, p.rowc_r, p.colc_r, p.rowc, p.colc, p.fracDeV_r, p.deVAB_r, p.deVPhi_r, s.specobjid, s.bestobjid, p.objid, s.plate, s.fiberid, p.insideMask, p.flags, p.sky_r, p.petroFlux_r, p.petroFluxIvar_r, p.fiber2Flux_r, p.petroRad_r, p.petroRadErr_r, p.petroR50_r, p.petroR50Err_r, p.petroR90_r, p.petroR90Err_r, p.deVRad_r, p.deVRadErr_r, p.deVFlux_r, p.deVFluxIvar_r, p.airmass_r, p.cloudCam_r, p.calibStatus_r, s.z, s.zErr, s.zWarning, s.class, s.z_NOqso, s.zErr_NOqso, s.zWarning_NOqso, MAX(s.velDisp), s.velDispErr, s.velDispZ, s.velDispZErr, s.velDispChi2, s.velDispNPix, s.velDispDOF, s.snMedian_r, s.snMedian, s.chi68p, s.fracNSigma_1, s.fracNSigHi_1, s.fracNSigLo_1, s.spectroFlux_r, s.spectroSynFlux_r, s.spectroFluxIvar_r, s.spectroSynFluxIvar_r, p.expFlux_r, p.expAB_r, p.expRad_r, p.expPhi_r, p.psfFlux_r_x000D_
FROM PhotoObjAll AS p_x000D_
 JOIN SpecObjAll AS s ON s.bestobjid = p.objid JOIN PlateX AS px on px.plateID = s.plateID_x000D_
WHERE _x000D_
 s.scienceprimary = 1_x000D_
 AND s.ra BETWEEN 237.97017712166667 AND 237.97184378833333_x000D_
 AND s.dec BETWEEN 25.97750632336667 AND 25.979172990033334_x000D_;",YES,aggr-attribute,YES,aggr-attribute
"select top 1 objid, z, zerr, photoerrorclass from photoz where objid=1237661360770843001","SELECT TOP 1 objid, z, zerr, photoerrorclass
FROM photoz
WHERE objid = (SELECT objid FROM photoz WHERE zerr < 0.1);  ",YES,type-mismatch-nested,YES,type-mismatch-nested
"SELECT DISTINCT s.run2d, s.plate, s.mjd, s.fiberID FROM PhotoObjAll AS p JOIN SpecObjAll AS s ON p.objID = s.bestObjID WHERE (s.plate=657 AND s.mjd=52177 AND s.fiberid=411)","SELECT DISTINCT s.run2d, plate, mjd, fiberID  -- Removed the alias 's' from some columns to introduce ambiguity
FROM PhotoObjAll AS p 
JOIN SpecObjAll AS s ON p.objID = s.bestObjID
JOIN PhotoObjAll AS po ON p.objID = po.objID  -- Additional join using the same alias 'p'
WHERE (s.plate=657 AND s.mjd=52177 AND s.fiberid=411);",YES,alias-ambiguous,YES,alias-ambiguous
